#,Job Title,Company,Location,Salary,Posted Date,Source,URL,Status
49,Data Scientist,Ford Motor,"Dearborn, Wayne County","$107,848 - $182,338",2025-10-16T10:15:15Z,Adzuna,https://www.adzuna.com/details/5450437281?utm_medium=api&utm_source=b57ea8de,Not Applied
50,Data Scientist (REMOTE),Jobgether,US,"$93,368 - $93,368",2025-10-15T07:44:24Z,Adzuna,https://www.adzuna.com/details/5448271033?utm_medium=api&utm_source=b57ea8de,Not Applied
51,Senior Data Scientist,PepsiCo,"Plano, Collin County","$180,221 - $180,221",2025-10-15T16:23:30Z,Adzuna,https://www.adzuna.com/details/5449006811?utm_medium=api&utm_source=b57ea8de,Not Applied
52,Lead Data Scientist,Marketing Architects,US,"$160,000 - $190,000",2025-10-16T08:32:35Z,Adzuna,https://www.adzuna.com/land/ad/5450218247?se=DGriZcyq8BGOO8HImVPizA&utm_medium=api&utm_source=b57ea8de&v=BFF4F5E7900EEA4C01519C12B4FD58A3F0ACE9C3,Not Applied
53,Senior Data Scientist,Mochi Health,"San Francisco, California","$250,000 - $300,000",2025-10-16T12:10:53Z,Adzuna,https://www.adzuna.com/land/ad/5450574668?se=DGriZcyq8BGOO8HImVPizA&utm_medium=api&utm_source=b57ea8de&v=8E6237448B29B7884A5FF57237295E0EF3E9318E,Not Applied
54,Principal Data Scientist,DELL,"Round Rock, Williamson County","$167,182 - $167,182",2025-10-15T19:27:39Z,Adzuna,https://www.adzuna.com/details/5449176076?utm_medium=api&utm_source=b57ea8de,Not Applied
55,Data Scientist II,Wolters Kluwer,"Riverwoods, Lake County","$91,600 - $126,800",2025-10-15T09:57:26Z,Adzuna,https://www.adzuna.com/details/5448638852?utm_medium=api&utm_source=b57ea8de,Not Applied
56,Senior Data Scientist,APPIC Solutions,"Castlewood, Centennial","$110,000 - $130,000",2025-10-15T23:50:01Z,Adzuna,https://www.adzuna.com/details/5449656824?utm_medium=api&utm_source=b57ea8de,Not Applied
57,Principal Data Scientist,Dell,"Round Rock, Williamson County","$192,000 - $248,000",2025-10-16T08:14:34Z,Adzuna,https://www.adzuna.com/details/5450084945?utm_medium=api&utm_source=b57ea8de,Not Applied
58,"Data Scientist, Mid",Booz Allen Hamilton,"Mc Lean, Fairfax County","$77,600 - $176,000",2025-10-16T09:33:56Z,Adzuna,https://www.adzuna.com/details/5450415448?utm_medium=api&utm_source=b57ea8de,Not Applied
59,"Senior, Data Scientist",Walmart,"Sunnyvale, Santa Clara County","$90,000 - $180,000",2025-10-16T12:47:23Z,Adzuna,https://www.adzuna.com/details/5450599049?utm_medium=api&utm_source=b57ea8de,Not Applied
60,Data Scientist - Specialist,Equifax,"Atlanta, Fulton County","$124,467 - $124,467",2025-10-15T11:30:21Z,Adzuna,https://www.adzuna.com/details/5448723990?utm_medium=api&utm_source=b57ea8de,Not Applied
