#,Job Title,Company,Location,Salary,Posted Date,Source,URL,Status
51,"Data Center Engineering Operations Technician , Data Center Communities",Amazon,"Manassas, Prince William County","$59,600 - $133,200",2025-10-16T12:58:22Z,Adzuna,https://www.adzuna.com/details/5450612730?utm_medium=api&utm_source=b57ea8de,Not Applied
52,"Senior Technology Manager, Data Engineering",CarMax,"Richmond, Richmond County","$118,219 - $118,219",2025-10-16T08:08:48Z,Adzuna,https://www.adzuna.com/details/5450080876?utm_medium=api&utm_source=b57ea8de,Not Applied
53,"Delivery Consultant - Connect and Lex, Amazon Connect Center of Delivery Excellence",Amazon,"Dallas, Texas","$118,200 - $204,300",2025-10-15T11:32:46Z,Adzuna,https://www.adzuna.com/details/5448732035?utm_medium=api&utm_source=b57ea8de,Not Applied
54,2026 Technology Summer Internship - Early Careers (Software Engineer),Wells Fargo Bank,"San Francisco, California","$95,992 - $131,996",2025-10-16T08:53:57Z,Adzuna,https://www.adzuna.com/details/5450382731?utm_medium=api&utm_source=b57ea8de,Not Applied
55,Data Engineer - Pipelines and Platform (On-site Work Schedule),Parts Town,"Fort Wayne, Indiana, US","$118,679 - $137,800",2025-10-15T00:00:00.000Z,Jsearch,https://www.linkedin.com/jobs/view/data-engineer-pipelines-and-platform-on-site-work-schedule-at-parts-town-4312428541?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not Applied
56,Sr. Programmer Analyst-Data Engineering/ETL Development,Dominion Energy,"Richmond, Virginia, US",Not specified,2025-10-15T23:00:00.000Z,Jsearch,https://careers.dominionenergy.com/job/RICHMOND-Sr_-Programmer-Analyst-Data-EngineeringETL-Development-VA-23219/1335240500/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not Applied
57,ETL Engineer- Integrations & Data,Onshore Outsourcing Holding Co Inc,"Glennville, Georgia, US",Not specified,2025-10-15T00:00:00.000Z,Jsearch,"https://www.ziprecruiter.com/c/Onshore-Outsourcing-Holding-Co-Inc/Job/ETL-Engineer-Integrations-&-Data/-in-Glennville,GA?jid=ef0f406b0acb39b7&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",Not Applied
58,BI Lead Data Analytics Engineer,VirtualVocations,"Rockville, Maryland, US",Not specified,2025-10-15T23:00:00.000Z,Jsearch,https://www.talent.com/view?id=b0b474184264&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not Applied
59,Senior Data Engineer (ETL / PySpark),Marga Consulting LLC,"Princeton, New Jersey, US",Not specified,2025-10-16T03:00:00.000Z,Jsearch,https://www.linkedin.com/jobs/view/senior-data-engineer-etl-pyspark-at-marga-consulting-llc-4312464865?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not Applied
60,Data Engineer,Facebook,"Montpelier Station, Virginia, US",Not specified,2025-10-15T23:00:00.000Z,Jsearch,https://www.localjobs.com/job/montpelier-station-va-data-engineer-3?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not Applied
